(1, 5) 
(2, 6) 
(3, 7) 
(4, 8) 
(5, 9) 
(6, 10) 
(7, 11) 
(8, 12) 
(9, 13) 
(10, 14) 
(11, 15) 
(12, 16) 
(13, 17) 
(14, 18) 
(15, 19) 
(16, 20) 
(17, 21) 
(18, 22) 
(19, 23) 
(20, 24) 
(21, 25) 
(22, 26) 
(23, 27) 
(24, 28) 
(25, 29) 
(26, 30) 
(27, 31) 
(28, 32) 
(29, 33) 
(30, 34) 
(31, 35) 
(32, 36) 
(33, 37) 
(34, 38) 
(35, 39) 
(36, 40) 
(37, 41) 
(38, 42) 
(39, 43) 
(40, 44) 
(41, 45) 
(42, 46) 
(43, 47) 
(44, 48) 
(45, 49) 
(48, 50) 
(50, 51) 
(51, 52) 
(53, 53) 
(54, 54) 
(55, 55) 
(56, 56) 
(57, 57) 
(58, 58) 
(59, 59) 
(60, 60) 
(61, 61) 
(62, 62) 
(63, 63) 
(64, 64) 
(67, 65) 
(68, 66) 
(69, 67) 
(72, 68) 
(74, 69) 
(75, 70) 
(76, 71) 
(77, 72) 
(78, 73) 
(79, 74) 
(80, 75) 
(81, 76) 
(82, 77) 
(83, 78) 
(84, 79) 
(85, 80) 
(86, 81) 
(89, 82) 
(90, 83) 
(91, 84) 
(92, 85) 
(96, 86) 
(98, 87) 
(99, 88) 
(101, 89) 
(102, 90) 
(103, 91) 
(104, 92) 
(105, 93) 
(106, 94) 
(107, 95) 
(110, 96) 
(111, 97) 
(112, 98) 
(113, 99) 
(114, 100) 
(115, 101) 
(117, 102) 
(119, 103) 
(120, 104) 
(121, 105) 
(122, 106) 
(126, 107) 
(127, 108) 
(131, 109) 
(133, 110) 
(134, 111) 
(136, 112) 
(141, 113) 
(142, 114) 
(143, 115) 
(145, 116) 
(147, 117) 
(150, 118) 
(154, 119) 
(157, 120) 
(161, 121) 
(163, 122) 
(164, 123) 
(166, 124) 
(200, 125) 
(201, 126) 
(202, 127) 
(203, 128) 
(221, 129) 
(222, 130) 
(223, 131) 
(233, 132) 
(234, 133) 
(235, 134) 
(236, 135) 
(238, 136) 
(240, 137) 
(245, 138) 
(246, 139) 
(254, 140) 
(266, 141) 
(267, 142) 
(268, 143) 
(350, 144) 
(360, 145) 
(412, 146) 
(420, 147) 
(421, 148) 
(427, 149) 
(429, 150) 
(432, 151) 
(497, 152) 
(498, 153) 
(516, 154) 
(517, 155) 
(518, 156) 
(523, 157) 
(526, 158) 
(555, 159) 
(711, 160) 
(777, 161) 
(875, 162) 
(876, 163) 
(887, 164) 
(888, 165) 
(895, 166) 
(897, 167) 
(901, 168) 
(902, 169) 
(910, 170) 
(950, 171) 
